epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,352.686,1.1789,1.29692,1.28444,0.64123,0.04082,0.03029,0.02288,1.57712,7.38792,1.19693,8.218e-05,8.218e-05,8.218e-05
56,359.071,1.17604,1.35811,1.30007,0.64593,0.04082,0.0303,0.02289,1.5374,7.70537,1.17071,8.185e-05,8.185e-05,8.185e-05
57,365.444,1.13383,1.2233,1.27119,0.64747,0.04082,0.04532,0.03673,1.50827,7.89078,1.15705,8.152e-05,8.152e-05,8.152e-05
58,371.862,1.09125,1.27289,1.22343,0.65999,0.04082,0.04539,0.03678,1.44199,8.03149,1.12116,8.119e-05,8.119e-05,8.119e-05
59,378.283,1.07124,1.17875,1.20287,0.65943,0.04082,0.04541,0.03429,1.39021,8.45274,1.10278,8.086e-05,8.086e-05,8.086e-05
60,384.672,1.08215,1.26438,1.23958,0.66118,0.04082,0.04541,0.03429,1.40347,8.80486,1.09869,8.053e-05,8.053e-05,8.053e-05
61,391.054,1.13052,1.27778,1.26409,0.65615,0.04082,0.0454,0.03431,1.42204,8.90509,1.10114,8.02e-05,8.02e-05,8.02e-05
62,397.426,1.16404,1.20791,1.25628,0.6452,0.04082,0.03877,0.02967,1.49438,8.8632,1.11812,7.987e-05,7.987e-05,7.987e-05
63,403.821,1.04411,1.24409,1.21577,0.64423,0.04082,0.03918,0.02743,1.55256,8.15852,1.13035,7.954e-05,7.954e-05,7.954e-05
64,410.228,1.0807,1.21089,1.2444,0.64597,0.04082,0.03087,0.02161,1.5794,7.49994,1.13458,7.921e-05,7.921e-05,7.921e-05
65,416.595,0.9408,1.17463,1.17008,0.64643,0.04082,0.03073,0.01974,1.59731,7.26092,1.13716,7.888e-05,7.888e-05,7.888e-05
66,422.973,1.08288,1.1853,1.20778,0.64434,0.04082,0.03083,0.01981,1.63758,6.61519,1.14538,7.855e-05,7.855e-05,7.855e-05
67,429.366,1.08603,1.24609,1.23265,0.6368,0.04082,0.03106,0.01996,1.70337,6.2358,1.16665,7.822e-05,7.822e-05,7.822e-05
68,435.721,1.04303,1.11576,1.20674,0.62751,0.04082,0.03075,0.01929,1.7396,6.08919,1.18184,7.789e-05,7.789e-05,7.789e-05
69,442.063,0.92435,1.03824,1.13582,0.62678,0.04082,0.03073,0.01928,1.75048,6.01987,1.18733,7.756e-05,7.756e-05,7.756e-05
70,448.426,1.13985,1.23996,1.2485,0.61821,0.04082,0.03065,0.01923,1.74608,5.94931,1.18867,7.723e-05,7.723e-05,7.723e-05
71,454.829,0.95885,1.10252,1.15101,0.60863,0.04082,0.03051,0.01914,1.72708,5.99141,1.18449,7.69e-05,7.69e-05,7.69e-05
72,461.21,1.03211,1.0948,1.19256,0.60956,0.04082,0.03037,0.01908,1.69576,6.32087,1.17326,7.657e-05,7.657e-05,7.657e-05
73,467.566,1.06349,1.15316,1.20975,0.61188,0.04082,0.03038,0.01908,1.69375,6.40657,1.17319,7.624e-05,7.624e-05,7.624e-05
74,473.97,1.08588,1.19548,1.24906,0.63866,0.04082,0.03033,0.01905,1.6725,6.7978,1.16978,7.591e-05,7.591e-05,7.591e-05
75,480.394,1.24036,1.28102,1.30838,0.63612,0.04082,0.03864,0.02404,1.68605,7.19675,1.17647,7.558e-05,7.558e-05,7.558e-05
76,486.762,0.96714,1.06425,1.13018,0.63392,0.04082,0.03029,0.01901,1.70788,7.5225,1.20053,7.525e-05,7.525e-05,7.525e-05
77,493.139,1.05315,1.16729,1.24732,0.63434,0.04082,0.03026,0.019,1.72973,7.52412,1.20782,7.492e-05,7.492e-05,7.492e-05
78,499.527,0.98949,1.1217,1.14102,0.63289,0.04082,0.03023,0.01898,1.75159,7.50725,1.21939,7.459e-05,7.459e-05,7.459e-05
79,505.898,1.02811,1.10662,1.19193,0.6348,0.04082,0.03855,0.02397,1.73419,7.39933,1.21637,7.426e-05,7.426e-05,7.426e-05
80,512.271,0.95297,1.19234,1.14434,0.63766,0.04082,0.03856,0.02398,1.7128,7.06124,1.2087,7.393e-05,7.393e-05,7.393e-05
81,518.625,1.00262,1.09511,1.18345,0.63952,0.04082,0.03856,0.02397,1.69971,6.78592,1.20644,7.36e-05,7.36e-05,7.36e-05
82,524.989,1.04612,1.09226,1.21314,0.64215,0.04082,0.03856,0.02397,1.684,6.26205,1.20773,7.327e-05,7.327e-05,7.327e-05
83,531.374,1.11363,1.15112,1.23679,0.64264,0.04082,0.0386,0.02401,1.67955,5.79601,1.21067,7.294e-05,7.294e-05,7.294e-05
84,537.75,1.01651,1.02483,1.18286,0.64081,0.04082,0.03864,0.02404,1.65555,5.65304,1.2192,7.261e-05,7.261e-05,7.261e-05
85,544.121,1.02444,1.1049,1.1639,0.63783,0.04082,0.03868,0.02406,1.66134,5.5746,1.22279,7.228e-05,7.228e-05,7.228e-05
86,550.516,0.99543,1.07431,1.18766,0.64354,0.04082,0.04542,0.02853,1.65786,5.29245,1.22887,7.195e-05,7.195e-05,7.195e-05
87,556.874,0.98193,1.05222,1.18894,0.67337,0.04082,0.04543,0.02854,1.66054,5.04666,1.23831,7.162e-05,7.162e-05,7.162e-05
88,563.238,1.03685,1.16118,1.17866,0.75794,0.04082,0.04546,0.02856,1.67453,4.832,1.23391,7.129e-05,7.129e-05,7.129e-05
89,569.593,0.97911,1.00509,1.17438,0.78357,0.04082,0.04545,0.02855,1.67923,4.81461,1.23527,7.096e-05,7.096e-05,7.096e-05
90,575.978,1.01459,1.08944,1.17761,0.78625,0.04082,0.04544,0.02855,1.70822,4.79605,1.24025,7.063e-05,7.063e-05,7.063e-05
91,582.341,0.92305,1.01272,1.15453,0.76161,0.04082,0.04537,0.0285,1.7326,4.84602,1.24367,7.03e-05,7.03e-05,7.03e-05
92,588.704,1.02924,1.07373,1.19397,0.78739,0.04082,0.04527,0.02842,1.76315,4.88808,1.25337,6.997e-05,6.997e-05,6.997e-05
93,595.062,1.03292,1.13469,1.18824,0.76595,0.04082,0.04526,0.02841,1.76629,4.91485,1.25472,6.964e-05,6.964e-05,6.964e-05
94,601.431,1.13284,1.22352,1.24048,0.81061,0.04082,0.04522,0.02839,1.79681,5.08483,1.26226,6.931e-05,6.931e-05,6.931e-05
95,607.817,0.97747,1.06737,1.17045,0.83582,0.04082,0.0452,0.02837,1.80331,5.30929,1.26363,6.898e-05,6.898e-05,6.898e-05
96,614.177,0.96913,1.0285,1.14964,0.8578,0.04082,0.04518,0.02836,1.79884,5.46579,1.25741,6.865e-05,6.865e-05,6.865e-05
97,620.556,1.06046,1.18562,1.22199,0.87886,0.04082,0.04518,0.02836,1.77438,5.44742,1.24473,6.832e-05,6.832e-05,6.832e-05
98,626.937,0.93207,1.01217,1.1213,0.83545,0.04082,0.04518,0.02836,1.75852,5.54972,1.23229,6.799e-05,6.799e-05,6.799e-05
99,633.325,1.00869,0.99493,1.16914,0.81163,0.04082,0.04518,0.02837,1.74284,5.70548,1.22581,6.766e-05,6.766e-05,6.766e-05
100,639.682,0.9951,1.00617,1.12394,0.79655,0.04082,0.04518,0.02836,1.71707,5.76325,1.21384,6.733e-05,6.733e-05,6.733e-05
101,646.046,0.97962,0.9816,1.11783,0.78715,0.04082,0.04519,0.02837,1.70706,5.7035,1.20824,6.7e-05,6.7e-05,6.7e-05
