epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,834.74,0.79852,0.62623,1.10263,0.64064,0.04082,0.03961,0.02222,1.54629,3.21517,1.29939,0.0011684,0.0011684,0.0011684
128,841.364,0.74896,0.5872,1.04217,0.6264,0.04082,0.03959,0.02114,1.54327,2.95416,1.30612,0.0011618,0.0011618,0.0011618
129,847.899,0.76609,0.57282,1.05649,0.62802,0.04082,0.03952,0.02109,1.50821,3.08032,1.31302,0.0011552,0.0011552,0.0011552
130,854.447,0.78698,0.60777,1.06132,0.61295,0.04082,0.03895,0.02064,1.55046,3.46899,1.33912,0.0011486,0.0011486,0.0011486
131,860.997,0.8161,0.60477,1.07297,0.47074,0.04082,0.03871,0.02826,1.53851,4.19309,1.30726,0.001142,0.001142,0.001142
132,867.558,0.8452,0.60826,1.11105,0.3537,0.04082,0.03545,0.02717,1.85953,6.79776,1.50508,0.0011354,0.0011354,0.0011354
133,874.122,0.72339,0.58137,1.05714,0.26946,0.04082,0.03341,0.02574,2.01293,7.34112,1.60836,0.0011288,0.0011288,0.0011288
134,880.731,0.75541,0.60784,1.05833,0.57315,0.04082,0.0388,0.02819,2.04191,5.35583,1.61327,0.0011222,0.0011222,0.0011222
135,887.287,0.70591,0.58527,1.02869,0.64273,0.04082,0.03884,0.02438,2.09005,3.52737,1.57759,0.0011156,0.0011156,0.0011156
136,893.886,0.80683,0.66107,1.09663,0.64958,0.04082,0.03935,0.02614,2.02514,2.96532,1.53045,0.001109,0.001109,0.001109
137,900.462,0.74762,0.56292,1.05943,0.64653,0.04082,0.03955,0.02623,1.99334,3.00409,1.5641,0.0011024,0.0011024,0.0011024
138,907.059,0.75151,0.59613,1.04826,0.64347,0.04082,0.03931,0.02748,1.98835,3.40155,1.62648,0.0010958,0.0010958,0.0010958
139,913.699,0.77734,0.56319,1.05998,0.45526,0.04082,0.03074,0.01969,1.96879,4.44092,1.6,0.0010892,0.0010892,0.0010892
140,920.29,0.79115,0.5988,1.0904,0.46649,0.04082,0.03887,0.02441,2.05592,5.25089,1.60189,0.0010826,0.0010826,0.0010826
141,926.825,0.72766,0.57258,1.02647,0.62213,0.04082,0.03894,0.02441,2.09791,5.08703,1.59998,0.001076,0.001076,0.001076
142,933.365,0.75556,0.58365,1.04124,0.59643,0.04082,0.03882,0.023,2.08361,6.31081,1.56461,0.0010694,0.0010694,0.0010694
143,939.965,0.69685,0.56447,1.03882,0.59597,0.04082,0.0389,0.02442,1.98512,6.03087,1.52336,0.0010628,0.0010628,0.0010628
144,946.6,0.67589,0.52069,1.00971,0.61606,0.04082,0.03932,0.02461,1.90487,4.24144,1.45972,0.0010562,0.0010562,0.0010562
145,953.147,0.74724,0.54203,1.05356,0.62548,0.04082,0.03971,0.02478,1.90778,3.61123,1.45114,0.0010496,0.0010496,0.0010496
146,959.677,0.75222,0.53924,1.06406,0.65743,0.04082,0.04771,0.02356,2.11915,2.98084,1.54787,0.001043,0.001043,0.001043
147,966.275,0.76798,0.57824,1.03757,0.72568,0.04082,0.04842,0.02036,2.33702,2.96498,1.64576,0.0010364,0.0010364,0.0010364
148,972.872,0.79773,0.57194,1.0978,0.6383,0.04082,0.04927,0.02368,2.09332,3.37314,1.53176,0.0010298,0.0010298,0.0010298
149,979.397,0.67567,0.51215,1.00808,0.63545,0.04082,0.04854,0.02346,1.87894,3.80724,1.47705,0.0010232,0.0010232,0.0010232
150,986.002,0.7569,0.55268,1.05963,0.43626,0.04082,0.04704,0.02548,1.87322,5.68695,1.44914,0.0010166,0.0010166,0.0010166
151,992.59,0.71149,0.51944,1.04308,0.39367,0.04082,0.03192,0.01619,1.7289,5.94962,1.40534,0.00101,0.00101,0.00101
152,999.187,0.73352,0.56285,1.06534,0.45332,0.04082,0.02475,0.01201,1.81899,4.48147,1.44758,0.0010034,0.0010034,0.0010034
153,1005.7,0.7152,0.52014,1.03521,0.47012,0.04082,0.0322,0.01499,1.88771,4.07394,1.49284,0.0009968,0.0009968,0.0009968
154,1012.27,0.68636,0.50029,1.0225,0.6136,0.04082,0.04673,0.02344,1.99214,3.70721,1.58778,0.0009902,0.0009902,0.0009902
155,1018.86,0.71255,0.51907,1.04505,0.60191,0.04082,0.03937,0.02074,2.08073,3.59198,1.61984,0.0009836,0.0009836,0.0009836
156,1025.46,0.66586,0.47179,1.01335,0.94926,0.04082,0.04625,0.02095,2.07543,3.20871,1.56283,0.000977,0.000977,0.000977
157,1032.02,0.73603,0.57557,1.05141,0.95026,0.04082,0.04585,0.02088,2.04833,3.06987,1.52476,0.0009704,0.0009704,0.0009704
158,1038.62,0.71566,0.52892,1.05668,0.94034,0.04082,0.04577,0.02338,1.88576,3.17244,1.44747,0.0009638,0.0009638,0.0009638
159,1045.25,0.61712,0.48354,1.00027,0.63687,0.04082,0.03089,0.01495,1.77793,3.26604,1.404,0.0009572,0.0009572,0.0009572
160,1051.81,0.70118,0.53365,1.02231,0.63104,0.04082,0.03127,0.01668,1.69169,3.55101,1.34595,0.0009506,0.0009506,0.0009506
161,1058.31,0.70403,0.53226,1.02471,0.62672,0.04082,0.03105,0.01658,1.66483,3.89845,1.33003,0.000944,0.000944,0.000944
162,1064.9,0.68545,0.5235,1.03231,0.59338,0.04082,0.0307,0.01476,1.76929,5.09478,1.32112,0.0009374,0.0009374,0.0009374
163,1071.46,0.69897,0.53361,1.02574,0.47672,0.04082,0.03887,0.01805,1.89865,7.21301,1.36176,0.0009308,0.0009308,0.0009308
164,1078.01,0.70247,0.51445,1.01444,0.47843,0.04082,0.04537,0.02313,1.93058,8.54651,1.41041,0.0009242,0.0009242,0.0009242
165,1084.57,0.70958,0.51627,1.00944,0.48406,0.04082,0.04539,0.02314,1.8904,7.41723,1.37455,0.0009176,0.0009176,0.0009176
166,1091.16,0.6519,0.50056,1.00839,0.66337,0.04082,0.04555,0.02774,1.77089,4.97274,1.30949,0.000911,0.000911,0.000911
167,1097.71,0.67568,0.49685,0.9992,0.81815,0.04082,0.04594,0.02793,1.72058,3.71953,1.34456,0.0009044,0.0009044,0.0009044
168,1104.27,0.72234,0.51187,1.05327,0.87152,0.04082,0.04647,0.02813,1.82796,3.26345,1.35614,0.0008978,0.0008978,0.0008978
169,1110.84,0.77496,0.53061,1.07233,0.86104,0.04082,0.04633,0.0283,1.83445,3.08458,1.35214,0.0008912,0.0008912,0.0008912
170,1117.4,0.70634,0.55244,1.05318,0.86336,0.04082,0.04844,0.02895,1.73068,2.86006,1.31194,0.0008846,0.0008846,0.0008846
171,1123.96,0.68353,0.52383,1.03327,0.83085,0.04082,0.04814,0.02959,1.68529,2.70532,1.27454,0.000878,0.000878,0.000878
172,1130.54,0.68439,0.47586,1.04339,0.75621,0.04082,0.0466,0.0265,1.74939,2.90415,1.32666,0.0008714,0.0008714,0.0008714
173,1137.12,0.66647,0.50157,1.02643,0.66486,0.04082,0.04619,0.02625,1.76689,3.13814,1.34692,0.0008648,0.0008648,0.0008648
174,1143.67,0.75057,0.55984,1.06812,0.64262,0.04082,0.04582,0.02805,1.75244,3.70799,1.33463,0.0008582,0.0008582,0.0008582
175,1150.32,0.65653,0.49019,1.01805,0.63588,0.04082,0.03911,0.02469,1.66544,3.67683,1.29575,0.0008516,0.0008516,0.0008516
176,1156.88,0.64674,0.54314,1.0049,0.63555,0.04082,0.03908,0.02467,1.56269,3.71771,1.24806,0.000845,0.000845,0.000845
177,1163.42,0.64562,0.54318,1.03261,0.63711,0.04082,0.04572,0.02799,1.52608,3.76636,1.22908,0.0008384,0.0008384,0.0008384
178,1170,0.61629,0.48385,1.00011,0.62555,0.04082,0.0389,0.02455,1.51665,4.33989,1.23051,0.0008318,0.0008318,0.0008318
179,1176.61,0.61372,0.44441,1.00379,0.61978,0.04082,0.0305,0.01959,1.63231,5.03758,1.29229,0.0008252,0.0008252,0.0008252
180,1183.22,0.64719,0.46207,1.02793,0.62417,0.04082,0.03063,0.01788,1.77353,4.29347,1.36438,0.0008186,0.0008186,0.0008186
181,1189.78,0.65041,0.48532,0.98301,0.62724,0.04082,0.03069,0.01791,1.7811,4.00312,1.36337,0.000812,0.000812,0.000812
182,1196.37,0.64827,0.50671,1.01088,0.63447,0.04082,0.03069,0.01794,1.66265,3.7131,1.27618,0.0008054,0.0008054,0.0008054
183,1202.99,0.66204,0.47888,1.00114,0.63546,0.04082,0.03068,0.01669,1.64625,3.57478,1.25282,0.0007988,0.0007988,0.0007988
184,1209.54,0.72328,0.55311,1.01868,0.63314,0.04082,0.03894,0.02205,1.68003,3.95699,1.25351,0.0007922,0.0007922,0.0007922
185,1216.1,0.68976,0.49362,1.03181,0.62534,0.04082,0.03889,0.02202,1.70915,4.2652,1.25608,0.0007856,0.0007856,0.0007856
